topic_title,topic_url,total_posts,agree,disagree,mixed,unknown_stance,positive_posts,negative_posts,neutral_posts,unknown_sentiment_posts,topic_sentiment_final
Swelling and skin irritation after surgery,https://www.uoaa.org/forum/viewtopic.php?t=25628,1,1,0,0,0,1,0,0,0,negative
irritated skin,https://www.uoaa.org/forum/viewtopic.php?t=24062,2,2,0,0,0,1,1,0,0,negative
Phoenix Irrigation Article,https://www.uoaa.org/forum/viewtopic.php?t=12908,3,2,0,0,1,1,1,1,0,positive
"Checking in after surgery, where is everyone?",https://www.uoaa.org/forum/viewtopic.php?t=27731,2,2,0,0,0,2,0,0,0,positive
Alternative to Irrigation Bag,https://www.uoaa.org/forum/viewtopic.php?t=27345,11,10,1,0,0,5,0,6,0,positive
Advice - Irrigation Failure after 20 years?,https://www.uoaa.org/forum/viewtopic.php?t=26855,12,9,0,0,3,9,3,0,0,negative
irrigation cones,https://www.uoaa.org/forum/viewtopic.php?t=27181,5,2,0,1,2,3,0,2,0,neutral
Is irrigation possible with Sensura Mio Click?,https://www.uoaa.org/forum/viewtopic.php?t=26825,4,2,0,0,2,4,0,0,0,positive
Irrigation with Parastomal Hernia,https://www.uoaa.org/forum/viewtopic.php?t=25520,8,7,0,0,1,2,4,2,0,negative
Irrigating on cruise,https://www.uoaa.org/forum/viewtopic.php?t=26925,1,1,0,0,0,1,0,0,0,neutral
"Lots of questions, some answers",https://www.uoaa.org/forum/viewtopic.php?t=26913,1,1,0,0,0,1,0,0,0,neutral
Thank you! And a request for stoma cap info,https://www.uoaa.org/forum/viewtopic.php?t=26840,4,4,0,0,0,4,0,0,0,positive
Travel tote,https://www.uoaa.org/forum/viewtopic.php?t=26835,1,1,0,0,0,0,0,1,0,positive
Am i doing irrigation wrong???,https://www.uoaa.org/forum/viewtopic.php?t=26765,18,7,0,1,10,5,3,10,0,negative
I’m dealing with cancer again,https://www.uoaa.org/forum/viewtopic.php?t=26585,1,1,0,0,0,1,0,0,0,negative
Syringe Bulb irrigation option,https://www.uoaa.org/forum/viewtopic.php?t=26562,1,0,0,0,1,1,0,0,0,neutral
Hollister Irrigation Sleeves,https://www.uoaa.org/forum/viewtopic.php?t=26292,9,3,1,0,5,4,1,4,0,negative
How do I get irrigation supplies,https://www.uoaa.org/forum/viewtopic.php?t=26061,2,0,0,0,2,2,0,0,0,negative
Questions....,https://www.uoaa.org/forum/viewtopic.php?t=26055,1,1,0,0,0,1,0,0,0,negative
The Perfect Appliance,https://www.uoaa.org/forum/viewtopic.php?t=25782,4,0,0,0,4,2,0,2,0,negative
irrigation supply review,https://www.uoaa.org/forum/viewtopic.php?t=25691,7,7,0,0,0,4,2,1,0,neutral
Stoma cap leaking the other way,https://www.uoaa.org/forum/viewtopic.php?t=25619,1,1,0,0,0,0,1,0,0,negative
Sleeve life,https://www.uoaa.org/forum/viewtopic.php?t=25166,11,8,0,0,3,2,2,7,0,neutral
Beginners Fustration,https://www.uoaa.org/forum/viewtopic.php?t=25615,1,1,0,0,0,1,0,0,0,negative
irrigation plate,https://www.uoaa.org/forum/viewtopic.php?t=25344,4,1,0,0,3,4,0,0,0,negative
Dealing with late returns,https://www.uoaa.org/forum/viewtopic.php?t=24929,2,0,0,0,2,1,0,1,0,neutral
irrigation without a wafer?,https://www.uoaa.org/forum/viewtopic.php?t=25108,7,0,0,0,7,2,0,5,0,neutral
How long do your kits last?,https://www.uoaa.org/forum/viewtopic.php?t=24478,5,1,2,0,2,5,0,0,0,negative
Is this constipation?,https://www.uoaa.org/forum/viewtopic.php?t=25008,1,0,0,0,1,0,0,1,0,neutral
mixing brands,https://www.uoaa.org/forum/viewtopic.php?t=24992,1,0,0,0,1,0,1,0,0,neutral
5 years of success....THEN....,https://www.uoaa.org/forum/viewtopic.php?t=24886,1,0,0,0,1,0,0,1,0,positive
Does Chinese Food cause gas problems,https://www.uoaa.org/forum/viewtopic.php?t=26871,6,2,1,0,3,3,2,1,0,neutral
Our Feathered Friends,https://www.uoaa.org/forum/viewtopic.php?t=26071,1,1,0,0,0,0,0,1,0,positive
The FNSD Sisterhood,https://www.uoaa.org/forum/viewtopic.php?t=24700,1,1,0,0,0,0,1,0,0,neutral
Ostomy anxiety insomnia again,https://www.uoaa.org/forum/viewtopic.php?t=25162,1,1,0,0,0,0,1,0,0,negative
NC and Coastal Floods,https://www.uoaa.org/forum/viewtopic.php?t=25058,1,1,0,0,0,0,0,1,0,neutral
